MAIN_ROAD,CITY_DISTRICT,ADDRESS,BUILD_1ST_NUM,BUILD_2ND_NUM,COMPLEX_NAME,AREA,CONTRACT_YEAR_MONTH,CONTRACT_DAY,AMOUNT,FLOOR,CONSTRUCTION_YEAR,ROAD_NAME,TERMINATION_DATE,TRANSACTION_TYPE,BROKER_LOCATION,ROAD_NUM
경인로77길,29,29,29,29,29,29,29,29,29,29,29,29,1,29,29,29
경인로8길,234,234,234,234,234,234,234,234,234,234,234,234,6,234,234,234
경희궁2길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
경희궁길,28,28,28,28,28,28,28,28,28,28,28,28,0,28,28,28
고덕로,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,36,2013,2013,2013
고덕로10길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
고덕로19길,23,23,23,23,23,23,23,23,23,23,23,23,0,23,23,23
고덕로20가길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
고덕로20나길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
고덕로23길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
고덕로24가길,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5
고덕로25길,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11
고덕로27길,90,90,90,90,90,90,90,90,90,90,90,90,0,90,90,90
고덕로38길,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15
고덕로61길,158,158,158,158,158,158,158,158,158,158,158,158,4,158,158,158
고덕로62길,145,145,145,145,145,145,145,145,145,145,145,145,1,145,145,145
고덕로80길,209,209,209,209,209,209,209,209,209,209,209,209,4,209,209,209
고덕로97길,88,88,88,88,88,88,88,88,88,88,88,88,0,88,88,88
고려대로17가길,57,57,57,57,57,57,57,57,57,57,57,57,2,57,57,57
고무래로,242,242,242,242,242,242,242,242,242,242,242,242,6,242,242,242
고무래로10길,70,70,70,70,70,70,70,70,70,70,70,70,0,70,70,70
고미술로,119,119,119,119,119,119,119,119,119,119,119,119,3,119,119,119
고산자로,874,874,874,874,874,874,874,874,874,874,874,874,15,874,874,874
고산자로14길,38,38,38,38,38,38,38,38,38,38,38,38,0,38,38,38
고산자로26길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
고산자로2길,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79
고산자로32길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
고산자로4길,85,85,85,85,85,85,85,85,85,85,85,85,0,85,85,85
고척로,512,512,512,512,512,512,512,512,512,512,512,512,11,512,512,512
고척로18길,19,19,19,19,19,19,19,19,19,19,19,19,1,19,19,19
고척로19길,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7
고척로21나길,54,54,54,54,54,54,54,54,54,54,54,54,0,54,54,54
고척로22길,32,32,32,32,32,32,32,32,32,32,32,32,0,32,32,32
고척로27길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
고척로27바길,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25
고척로3길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
고척로40길,14,14,14,14,14,14,14,14,14,14,14,14,1,14,14,14
고척로47길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
고척로4길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
고척로52길,340,340,340,340,340,340,340,340,340,340,340,340,10,340,340,340
고척로60길,61,61,61,61,61,61,61,61,61,61,61,61,0,61,61,61
곰달래로,170,170,170,170,170,170,170,170,170,170,170,170,4,170,170,170
곰달래로10길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
곰달래로11길,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61
곰달래로13길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
곰달래로15가길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
곰달래로17길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
곰달래로18길,87,87,87,87,87,87,87,87,87,87,87,87,1,87,87,87
곰달래로1길,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11
곰달래로20길,74,74,74,74,74,74,74,74,74,74,74,74,1,74,74,74
곰달래로22길,71,71,71,71,71,71,71,71,71,71,71,71,2,71,71,71
곰달래로23길,47,47,47,47,47,47,47,47,47,47,47,47,0,47,47,47
곰달래로24길,21,21,21,21,21,21,21,21,21,21,21,21,0,21,21,21
곰달래로26길,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
곰달래로2길,86,86,86,86,86,86,86,86,86,86,86,86,2,86,86,86
곰달래로31다길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
곰달래로31라길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
곰달래로31마길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
곰달래로35길,19,19,19,19,19,19,19,19,19,19,19,19,1,19,19,19
곰달래로53길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
곰달래로56길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
